address,actual_label,risk_score,risk_level,avg_min_between_sent_tnx,avg_min_between_received_tnx,time_diff_between_first_and_last_mins,sent_tnx,received_tnx,number_of_created_contracts,unique_received_from_addresses,unique_sent_to_addresses,total_transactions_including_tnx_to_create_contract,sent_to_contract_flag,has_erc20_activity_flag,sent_received_ratio,tx_per_min,reaction_speed_ratio,value_sent_received_ratio,net_flow,log_total_ether_sent,log_total_ether_received,log_avg_val_sent,log_avg_val_received,balance_negative_flag,log_abs_total_ether_balance,sent_range_ratio,received_range_ratio,addr_dispersion_sent,addr_dispersion_received,erc20_tx_ratio,erc20_sent_flag,log_erc20_uniq_sent_addr,log_erc20_uniq_rec_addr,erc20_addr_balance_ratio,log_erc20_unique_tokens_sent,log_erc20_unique_tokens_rec
0x00009277775ac7d0d59eaad8fee3d10ac6c805e8,0,0.021664790703420332,Low Risk,844.26,1093.71,704785.63,721,89,0,40,118,810,0,1,8.011111111111111,0.0011492840038693697,0.7712179481323821,1.473600342512569,-279.2244184,6.764682619405828,6.3758195206647805,0.7887668579195058,2.0267674259761224,1,5.635590776786797,14.186517718833395,6.035536799264985,0.1634349030470914,0.4444444444444444,0.32675709001233044,1,3.4339872044851463,4.007333185232471,0.5454545454545454,3.6888794541139363,4.060443010546419
0x0002b44ddb1476db43c868bd494422ee4c136fed,0,0.08678731345181866,Low Risk,12709.07,2958.44,1218216.73,94,8,0,5,14,102,0,1,10.444444444444445,8.372887496884485e-05,4.294417187035385,0.7556758014762918,-0.0018188109999996982,1.4078838762747405,1.4074387860871205,0.03231616227644662,0.32619460221007873,1,0.0018171589661280722,1.7427607654205282,1.8859040835399097,0.14736842105263157,0.5555555555555556,0.07766990291262135,1,0.6931471805599453,1.791759469228055,0.16666666666666666,0.6931471805599453,2.0794415416798357
0x0002bda54cb772d040f779e88eb453cac0daa244,0,0.6081819695652104,Medium Risk,246194.54,2434.02,516729.3,2,10,0,10,2,12,0,1,0.18181818181818182,2.3222946283583527e-05,101.10575683156607,0.7819941926408776,0.0004409999999999137,1.5235783772744431,1.5236744800739164,1.027584490979677,0.3066799642705006,0,0.0004409027880792546,1.266365769270961,0.8576406315079925,0.6666666666666666,0.9090909090909091,0.6153846153846154,0,0.0,2.0794415416798357,0.0,0.0,2.1972245773362196
0x00038e6ba2fd5c09aedb96697c8d7b8fa6632e5e,0,0.004941182291100126,Low Risk,10219.6,15785.09,397555.9,25,9,0,7,13,34,0,1,2.5,8.552234912788583e-05,0.647380066881666,1.9523055811766643,-854.6463030000004,7.467968523833199,6.79838624995878,4.262705707693617,4.610046676557084,1,6.751857093205384,6.337864455726594,4.975676901036971,0.5,0.7,0.4,1,1.0986122886681098,2.4849066497880004,0.16666666666666666,0.6931471805599453,2.4849066497880004
0x00062d1dd1afb6fb02540ddad9cdebfe568e0d89,0,0.058694978492485984,Low Risk,36.61,10707.77,382472.42,4598,20,1,7,19,4619,0,1,218.95238095238096,0.012076656202671548,0.0034186932766321434,1.9168549703151192,-50.896986299999995,4.65699272689999,3.9967665820679796,0.022434455114759718,1.3004899826870733,1,3.9492607208557953,8.800337932976626,3.4873548627861712,0.004131332898456186,0.3333333333333333,0.00909090909090909,1,1.6094379124341003,3.1780538303479458,0.16666666666666666,1.9459101490553132,3.332204510175204
0x000895ad78f4403ecd9468900e68d6ee506136fd,0,0.2586856107240886,Low Risk,9900.12,375.48,20926.68,2,3,0,2,1,5,0,0,0.5,0.00023891802626951482,26.296536336591586,0.9064891338542199,0.0010079999999987876,2.370590957816801,2.3706851262862387,1.766759217654997,1.4433616041372395,0,0.0010074923091396154,0.9461808540125207,1.1366896282044376,0.3333333333333333,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0
0x000d63fc5df52b0204374c2f5a3249779805d5d1,0,0.5033810061067495,Medium Risk,69.46,629.44,8660.35,25,11,0,9,20,36,0,0,2.0833333333333335,0.004156395942895737,0.11017701922466847,0.9222531371408763,0.01687189999999994,2.569737422515133,2.5710282282465284,0.39372715374107814,0.741039322580542,0,0.01673114649726233,2.8902506313676395,1.2630384893106432,0.7692307692307693,0.75,0.0,0,0.0,0.0,0.0,0.0,0.0
0x000e001ab444fa8d6dc4a402f8d7cfc88fe8c64d,0,0.1357699124078786,Low Risk,1497.39,176.84,319828.05,213,5,0,3,3,218,0,1,35.5,0.0006816141310490714,8.419871794871796,1.595345710612591,-4.247902416,2.272475531180288,1.6966223934403653,0.040048255261222444,0.6371576127649987,1,1.6578284569567128,0.6725201539879003,1.05758665071826,0.014018691588785047,0.5,0.0319634703196347,0,0.0,1.791759469228055,0.0,0.0,2.0794415416798357
0x0012cb699c836049a4bbeaac2d8c4d47c688e0e4,0,0.12538173044716863,Low Risk,0.0,0.0,496.62,1,1,0,1,1,2,0,0,0.5,0.004019131063863993,0.0,0.6664599999999999,0.0006200000000000649,1.0984056006429446,1.0986122886681098,1.0984056006429446,1.0986122886681098,0,0.0006198078794057442,0.6665977635377978,0.6666666666666666,0.5,0.5,0.0,0,0.0,0.0,0.0,0.0,0.0
0x0012f247c9f980eea0a9ad06893bfd95c3145794,0,0.1184194672540839,Low Risk,2570.59,3336.01,30572.7,8,3,0,2,4,11,0,1,2.0,0.00035978635232242087,0.7703273289561613,2.917358121330724,-98.977,5.011148495719106,3.933784497209659,2.977294589299083,2.8735646395797834,1,4.604940159534035,2.0372174156623823,2.2598870056497176,0.4444444444444444,0.5,0.08333333333333333,0,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453
0x0013e58a315d2e728f11630aa40abfbdddcab304,0,0.0,Low Risk,32.45,12921.57,129540.15,10,10,0,2,1,20,0,0,0.9090909090909091,0.00015439109503042085,0.0025111104060569996,0.9087962840423204,0.0076360199999996325,2.401575256073651,2.4022666507521016,0.6951726279557886,0.6955537823693468,0,0.00760701118534122,0.506058965447555,0.5062177682873117,0.09090909090909091,0.18181818181818182,0.0,0,0.0,0.0,0.0,0.0,0.0
0x0016338abcb6bfa6d355adc207c5d2d42acb5e42,0,0.11754288068312155,Low Risk,3716.41,1448.09,385961.98,8,246,0,4,3,254,0,1,0.032388663967611336,0.0006580942037498,2.5646509188525215,0.9987943755696221,0.00404770000022836,6.724792316531547,6.724797176876196,4.653721035809843,1.477348451155297,0,0.004039544044694956,2.8578266942446944,18.575710066822438,0.3333333333333333,0.016194331983805668,0.03137254901960784,0,0.0,2.0794415416798357,0.0,0.0,2.1972245773362196
0x001b28141562bc2601694d27c3f5fda2c06c234c,0,0.03565035664324089,Low Risk,0.0,12431.27,198900.25,0,16,1,4,0,17,0,1,0.0,8.546954833114422e-05,0.0,0.0,12.30665958,0.0,2.5882646302098813,0.0,0.5705082491018462,0,2.5882646302098813,0.0,0.5664075615289916,0.0,0.23529411764705882,0.1111111111111111,0,0.0,1.0986122886681098,0.0,0.0,1.0986122886681098
0x001cb265c5606d79035059686ae5f94c6a4c2c2c,0,0.5509697290791501,Medium Risk,9520.7,5776.32,78197.58,7,2,0,2,4,9,0,1,2.3333333333333335,0.0001150916039651871,1.6479440294115613,0.19331652102849717,0.09721742300000003,0.23344322074551113,0.30760126648320657,0.03687469417072243,0.16558138538912126,0,0.09277735946671678,0.12861002175289596,0.22469597374413064,0.5,0.6666666666666666,0.3,0,0.0,1.0986122886681098,0.0,0.0,1.0986122886681098
0x001cf9871aeaf2acf72f144b16818b7e417b6dda,0,0.005603920438166618,Low Risk,14106.66,3742.82,540061.9,32,24,0,11,21,56,0,1,1.28,0.00010369162554954247,3.7679856403352723,1.767806399279912,-1422.9823469999994,8.094069704704646,7.524024857964777,4.637754968436902,4.358313512850769,1,7.261212695125417,10.647344201961614,19.19992925208089,0.6363636363636364,0.44,0.5789473684210527,1,1.6094379124341003,3.1780538303479458,0.16666666666666666,1.6094379124341003,3.295836866004329
